author,date,message,sha
MichaelSun48,2024-09-13 23:43:32+00:00,"fix(custom-views): Align hover state of overflow menu with add view button (#77526)

Before:


https://github.com/user-attachments/assets/7904cd07-b5d5-4de2-8f42-a1946422b52b


After:


https://github.com/user-attachments/assets/068d2076-8355-4be2-822d-fc97d77289ed",75bb760e5c576722640b7a0a9f526f8d2cdff586
scttcper,2024-09-13 23:15:10+00:00,fix(issues): Align streamlined event id (#77529),3e11dd5dcc6f8282d0c5f87591de2022ac9c5a0e
jangjodi,2024-09-13 22:40:13+00:00,"fix(similarity): Return failure reason from multithread seer call (#77522)

Return failure reason from multithread seer call in the backfill
This allows the reason to be logged and the logic to skip projects with
gateway timeouts
[here](https://github.com/getsentry/sentry/blob/ff9a79b8945522173459675164ecbcd7e055405c/src/sentry/tasks/embeddings_grouping/backfill_seer_grouping_records_for_project.py#L248-L279)",d9990a2a2b10f92fdaf10ecc8e50bb221139aaa4
scttcper,2024-09-13 22:36:17+00:00,test(performance): Rearrange trace keyboard test (#77519),b74546ef666f776a763b6be098db7e9818da0534
mifu67,2024-09-13 22:31:06+00:00,"fix(anomaly detection): get aggregation key from snuba data (#77498)

We can't assume that the aggregation key of a snuba timeseries data
point will be `""count""`, so we should set the aggregation key when we
see a data point with an aggregation value.",2de49ace70cc7d485d67bcdcacfaa24a3717ac73
scttcper,2024-09-13 22:20:02+00:00,fix(ui): Remove team slug from settings search (#77520),730f6d5c3e6844f5de92ba67a850ed9447505b0f
mrduncan,2024-09-13 22:09:50+00:00,"fix(issues): Fix incorrect API docs for statsPeriod (#77523)

Endpoint: src/sentry/api/endpoints/project_group_index.py",6cc9a0bfa716d26410edd62485bfc707315e9b47
michellewzhang,2024-09-13 22:01:29+00:00,"analytics(flags): add initial analytics (#77489)

add initial analytics for the feature flag component:
- user clicked 'view all'
- user sorted, in both main component + drawer",5b7a948bf8bfcd530514dbe9d79455082f478dfe
Christinarlong,2024-09-13 21:00:39+00:00,"chore(users): Move User base endpoint file to users directory (#77501)

issue ref(#73856)",ff9a79b8945522173459675164ecbcd7e055405c
isabellaenriquez,2024-09-13 20:57:34+00:00,"chore(apidocs): Fix inconsistencies in replay docs (#77506)

A couple small nits to make these docs a little more consistent with the
rest:
- Return/Fetch -> Retrieve
- ""Get list..."" -> ""List ...""
- Capitalization, punctuation
- Missing field type",3f245a1610d6fca3f4a1acd3327e7882d2bdbe6d
isabellaenriquez,2024-09-13 20:49:20+00:00,"chore(apidocs): id -> ID (#77505)

""id"" should be capitalized :) 

(i was bothered)",80901d0fbb4e35399f02370102f13ca4cf424824
scttcper,2024-09-13 20:45:35+00:00,fix(onboarding): Open replay panel in quick start action (#77516),9149a05fd9422d3b770e8e71f7d0f91b8df477f9
mifu67,2024-09-13 20:42:27+00:00,"fix(anomaly detection): update alert list status to be the same as details page (#77500)

🐸",45289810177ed721785aead0cb222db2c2834e6d
evanpurkhiser,2024-09-13 20:41:23+00:00,"ref(js): Remove default export of DateTime (#77493)

Waiting on https://github.com/getsentry/getsentry/pull/15120",776cf44d63df72ece140d46fe64013d86872d5cf
jangjodi,2024-09-13 20:35:53+00:00,"chore(similarity): Increase seer delay and add to log (#77474)

Increase seer delay between retries
Add worker number to seer failure extra",9ee78fe90ef65e80d0e513de7b0eda3b7fa421ee
isabellaenriquez,2024-09-13 20:30:01+00:00,"chore(apidocs): Make UserRole related endpoints private (#77504)

`UserRolesEndpoint` was made private in
https://github.com/getsentry/sentry/pull/75544, so we'll do the same for
`UserRoleDetailsEndpoint`, `UserUserRolesEndpoint`, and
`UserUserRoleDetailsEndpoint`.",f8089377dd8cbd30912585be34304cc83190a9d4
MichaelSun48,2024-09-13 20:27:55+00:00,"fix(custom-views): Change cursor for tab to pointer everywhere (#77513)

Changes the cursor for the tab to be `pointer` everywhere. Previously
the cursor was `text` on the title, and pointer around it.",f6f8b60f1039eccf60d78e203866f83447703b12
asottile-sentry,2024-09-13 19:40:22+00:00,"ref: fix test pollution integrity errors due to cache leaks between tests (#77476)

this results in about a 15% failure rate:

```pytest
$ pytest --count 10 tests/sentry/event_manager/test_event_manager_grouping.py -k test_records_hash_comparison_metric
...
```

failing with:

```
E   django.db.utils.IntegrityError: ForeignKeyViolation('insert or update on table ""sentry_environmentproject"" violates foreign key constraint ""sentry_environmentpr_environment_id_f5d02227_fk_sentry_en""\nDETAIL:  Key (environment_id)=(18) is not present in table ""sentry_environment"".\n')
E   SQL: SET CONSTRAINTS ALL IMMEDIATE
```

I traced this down to a cache leaking from one test to another -- after
applying this patch I had no failures in 100x runs of the tests

<!-- Describe your PR here. -->",f72a7fc875fcfaf3ce2f28404e4d321ddfbbaff3
MichaelSun48,2024-09-13 19:34:52+00:00,chore(crons): Remove sentry monitor decorator from run_escalating_forcast job (#77499),d0351f8650fa8a65c964ef3b2f935b9196d508fc
evanpurkhiser,2024-09-13 19:17:11+00:00,ref(js): Missed one DateTime defualt export (#77497),db533da7eb443c4908f68a296b1403b4a25b7fea
michellewzhang,2024-09-13 19:01:38+00:00,"feat(flags): hide flags from context and add feedback button (#77488)

## add give feedback button:
it wouldn't show up in the drawer for some reason so added it to the
main component action bar:


https://github.com/user-attachments/assets/ef3b778e-daa2-4fc1-9cad-3b93d8ad4deb

## remove `flags` from the context display
<img width=""996"" alt=""SCR-20240913-jueq""
src=""https://github.com/user-attachments/assets/80697333-062d-41ca-800d-41529ead0112"">

closes https://github.com/getsentry/sentry/issues/77399
closes https://github.com/getsentry/sentry/issues/77160",f9db85f0ed6022c326b09e10ba5e1bdcb5a73db6
nhsiehgit,2024-09-13 18:55:12+00:00,"publish api endpoints (#77179)

per:
https://getsentry.atlassian.net/jira/software/c/projects/ALRT/boards/214?assignee=62175b31708417006bc94fe6&selectedIssue=ALRT-220
and

https://getsentry.atlassian.net/jira/software/c/projects/ALRT/boards/214?assignee=62175b31708417006bc94fe6&selectedIssue=ALRT-221

Publishes both the
`ProjectMemberIndexEndpoint`
and 
`OrganizationUserTeamsEndpoint`",bb5dc590354a4c3993e0a3054d1e257e541d01cb
evanpurkhiser,2024-09-13 18:40:24+00:00,ref(js): Remove usage of DateTime default export (#77494),aeaf0d44af1ccf6c445fea034efeb0f0622f11ea
evanpurkhiser,2024-09-13 18:31:52+00:00,"fix(ui): Inmprove spacing on code snippet header (#77492)

Before
<img alt=""clipboard.png"" width=""1085""
src=""https://i.imgur.com/8TmGqVt.png"" />

After
<img alt=""clipboard.png"" width=""1074""
src=""https://i.imgur.com/H4LOaeX.png"" />",2bec7a9f95f0ca0c96f42635b29c42d681616906
ceorourke,2024-09-13 18:28:23+00:00,"ref(alerts): Update _get_start_and_end_indices (#77449)

Since we have different data formats for the `metrics_performance`
dataset but normalize it in `format_historical_data`, we needed to
update `_get_start_and_end_indices` to accept the formatted data so it
works for everything.",6cef5ad70b2e13a27ff6f9fe9462a1373d20d322
MichaelSun48,2024-09-13 18:15:48+00:00,"chore(custom-views): Add real time button back to custom views header  (#76970)

As per our custom views sync on Aug 29, we are not sure if we want to
delete real time issues as a feature just yet, so this PR adds the
button back to the issue stream.",948f7563498b7b80f94bfbb90f95c6595b93ad06
0Calories,2024-09-13 18:12:58+00:00,"chore(insights): Adjust copy of queries search placeholder text (#77480)

Change to lower case q",df0ce4104dffc548ac5695922d971fa23c53c2e5
0Calories,2024-09-13 18:12:50+00:00,"chore(insights): Change copy for query not found message in MongoDB queries (#77485)

The SDKs currently do not capture a query source for MongoDB queries,
this PR updates the message informing the user that the query source was
not found, since it can be misleading.


![image](https://github.com/user-attachments/assets/9756b4f9-f2c8-4ce4-a579-33aa71cb58e7)",7d0c6b8c0cfb7968a550ae7a1e34ab5234de1c37
